Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
West,Self Employed,172.11,1,17.12,Christianity,Male
North,Self Employed,17.712,6,2.14,Islam,Female
North,Self Employed,6.258,2,1.98,Islam,Male
North,Self Employed,4.86,3,1.33,Islam,Female
East,Employed,15.168,2,1.37,Christianity,Male
South,Unemployed,663.936,4,162.74,Islam,Male
West,Unemployed,37.52,5,2.98,Christianity,Female
West,Unemployed,22.428,3,1.29,Christianity,Male
West,Employed,243.88,5,20.65,Christianity,Female
North,Self Employed,629.958,7,192.33,Atheist,Male
North,Self Employed,1.641,1,1.42,Atheist,Male
North,Self Employed,127.984,2,19.97,Christianity,Female
West,Self Employed,1502.376,4,110.8,Christianity,Male
West,Self Employed,35.168,7,2.48,Christianity,Female
West,Employed,118.782,3,15.25,Islam,Male
West,Employed,45.216,3,4.18,Islam,Male
West,Employed,55.47,5,3.45,Islam,Female
West,Employed,10.416,7,1.48,Islam,Male
West,Employed,7.872,3,1.22,Islam,Female
West,Employed,1.448,1,1.12,Islam,Male
West,Employed,166.92,13,12.54,Christianity,Male
East,Self Employed,1022.97,5,128.09,Islam,Female
North,Unemployed,899.43,5,243.89,Islam,Male
North,Unemployed,455.97,5,42.29,Islam,Female
North,Unemployed,30.144,2,7.95,Islam,Male
North,Unemployed,57.594,1,7.54,Islam,Male
North,Unemployed,5.715,5,1.35,Islam,Female
East,Employed,482.94,6,20.25,Christianity,Male
East,Employed,15.552,3,1.15,Christianity,Female
West,Unemployed,121.104,6,10.44,Christianity,Male
West,Unemployed,8.872,1,1.59,Christianity,Male
West,Self Employed,10.332,3,1.15,Islam,Female
West,Employed,23.976,4,3.95,Traditional,Male
North,Unemployed,14.832,3,2.8,Islam,Female
North,Self Employed,31.104,6,8.29,Atheist,Male
West,Self Employed,6.48,1,1.62,Christianity,Male
West,Self Employed,6.38,1,1.4,Christianity,Female
West,Employed,1592.85,7,62.7,Christianity,Male
West,Employed,11.88,2,2.04,Christianity,Female
North,Unemployed,821.94,6,125.04,Christianity,Male
West,Self Employed,944.93,7,82.39,Islam,Male
West,Self Employed,14.62,2,2.36,Islam,Female
South,Self Employed,333.09,3,58.9,Islam,Male
South,Self Employed,248.98,2,35.13,Islam,Female
West,Self Employed,471.9,6,48.89,Traditional,Male
West,Self Employed,3.52,2,1.49,Traditional,Male
West,Unemployed,13.11,3,1.32,Christianity,Female
West,Unemployed,6.56,2,1.25,Christianity,Male
South,Unemployed,1439.92,8,214.24,Islam,Female
South,Unemployed,262.11,1,14.51,Islam,Male
West,Employed,63.88,4,4.9,Islam,Male
South,Self Employed,1287.45,5,457.14,Atheist,Female
North,Self Employed,221.98,2,40.77,Islam,Male
North,Self Employed,341.96,2,25.27,Islam,Female
West,Self Employed,1323.9,5,121.4,Christianity,Male
West,Self Employed,541.24,4,7.82,Christianity,Male
West,Self Employed,106.32,3,6.62,Christianity,Female
West,Unemployed,1117.92,4,77.86,Christianity,Male
West,Employed,57.69,3,6.71,Islam,Female
West,Employed,6.9,1,1.42,Islam,Male
West,Self Employed,10.56,2,1.14,Christianity,Male
West,Unemployed,868.59,3,78.45,Christianity,Female
West,Unemployed,121.6,4,14.18,Christianity,Male
West,Unemployed,12.96,2,1.83,Christianity,Female
West,Unemployed,29.46,6,1.72,Christianity,Male
West,Unemployed,20.16,7,1.36,Christianity,Male
West,Unemployed,5.5,1,1.33,Christianity,Female
South,Self Employed,38.16,9,8.88,Islam,Male
West,Self Employed,479.96,4,34.21,Christianity,Female
West,Self Employed,302.67,3,28.46,Christianity,Male
West,Self Employed,461.97,3,23.54,Christianity,Male
West,Self Employed,137.62,2,15.11,Christianity,Female
West,Self Employed,33.48,2,1.12,Christianity,Male
West,Employed,30.36,4,2.58,Christianity,Female
North,Self Employed,325.86,2,83.2,Islam,Male
West,Self Employed,14.94,3,1.52,Islam,Male
East,Self Employed,167.28,12,25.22,Atheist,Female
East,Self Employed,81.54,3,19.06,Atheist,Male
West,Self Employed,10.8,5,1.63,Islam,Female
West,Self Employed,291.96,4,17.37,Christianity,Male
West,Self Employed,1805.88,6,80.82,Christianity,Male
West,Self Employed,477.3,5,40.73,Christianity,Female
West,Employed,332.94,3,24.56,Christianity,Male
West,Employed,368.97,3,15.93,Christianity,Female
West,Employed,12.39,3,1.67,Christianity,Male
West,Employed,21.96,2,1.41,Christianity,Male
South,Self Employed,28.85,5,1.07,Christianity,Female
West,Unemployed,77.56,2,5.75,Christianity,Male
West,Unemployed,41.86,7,3.15,Christianity,Female
West,Unemployed,32.4,5,3.07,Christianity,Male
West,Unemployed,36.44,4,2.57,Christianity,Male
North,Employed,69.93,7,11.11,Islam,Female
West,Unemployed,429.9,5,37.95,Christianity,Male
West,Unemployed,161.96,2,15.81,Christianity,Female
West,Unemployed,32.06,2,3.07,Christianity,Male
West,Unemployed,19.86,2,1.52,Christianity,Male
East,Self Employed,821.88,6,176.04,Islam,Female
East,Self Employed,104.85,3,17.61,Islam,Male
East,Self Employed,42.81,3,5.9,Islam,Female
East,Self Employed,57.69,3,4.22,Islam,Male
East,Self Employed,12.96,2,1.64,Islam,Male
East,Employed,629.184,8,48.65,Christianity,Female
East,Employed,650.352,3,45.51,Christianity,Male
East,Employed,47.952,3,4.27,Christianity,Female
East,Employed,104.784,1,2.92,Christianity,Male
East,Employed,17.584,7,1.89,Christianity,Male
East,Employed,15.176,1,1.24,Christianity,Female
West,Self Employed,1487.04,5,129.1,Christianity,Male
West,Self Employed,21.728,7,1.1,Christianity,Female
West,Employed,403.168,4,45.05,Islam,Male
West,Self Employed,195.136,4,9.8,Christianity,Male
West,Self Employed,26.352,8,1.7,Christianity,Female
North,Self Employed,53.04,3,9.06,Islam,Male
North,Self Employed,11.032,1,2.04,Islam,Female
West,Employed,19.608,3,1.91,Christianity,Male
West,Employed,4.158,7,1.41,Christianity,Male
West,Self Employed,24.784,1,1.97,Christianity,Female
West,Self Employed,32.896,4,2.37,Islam,Male
West,Self Employed,22.776,3,1.97,Islam,Female
West,Employed,9.762,2,1.6,Christianity,Male
North,Self Employed,344.704,2,48.59,Christianity,Male
West,Employed,31.104,6,2.26,Christianity,Female
West,Employed,11.176,1,1.83,Christianity,Male
North,Unemployed,403.92,5,96.72,Atheist,Female
North,Self Employed,7.152,3,1.17,Christianity,Male
East,Self Employed,319.968,4,79.8,Atheist,Male
North,Self Employed,572.8,2,116.14,Christianity,Female
West,Self Employed,291.168,4,17.42,Islam,Male
West,Self Employed,66.294,1,9.46,Islam,Female
West,Employed,230.28,3,14.18,Christianity,Male
West,Employed,105.52,5,10.32,Christianity,Male
West,Self Employed,443.92,5,54.44,Islam,Female
West,Self Employed,155.976,3,3.74,Islam,Male
North,Self Employed,179.991,3,38.91,Islam,Female
North,Self Employed,4.158,7,1.89,Islam,Male
West,Unemployed,5.682,1,1.17,Christianity,Male
West,Self Employed,279.944,7,33.98,Islam,Female
West,Self Employed,37.68,3,5.4,Islam,Male
West,Self Employed,1.08,2,1.08,Christianity,Female
West,Self Employed,239.8,5,11.69,Christianity,Male
West,Self Employed,141.76,5,6.03,Christianity,Male
West,Self Employed,31.104,6,2.93,Christianity,Female
East,Self Employed,120.768,4,11.83,Islam,Male
East,Self Employed,25.92,5,4.61,Islam,Female
North,Employed,88.074,7,23.88,Islam,Male
West,Employed,177.225,5,8.14,Christianity,Male
West,Self Employed,31.32,10,2.95,Christianity,Female
West,Self Employed,11.84,4,1.56,Christianity,Male
West,Self Employed,22.784,1,1.32,Christianity,Female
West,Self Employed,438.368,4,72.71,Traditional,Male
West,Self Employed,133.472,4,23.22,Traditional,Male
West,Self Employed,139.944,7,11.89,Traditional,Female
North,Unemployed,377.45,5,55.53,Christianity,Male
North,Unemployed,45.24,4,7.16,Christianity,Female
North,Unemployed,18.688,4,4.12,Christianity,Male
North,Unemployed,28.68,3,3.1,Christianity,Male
North,Unemployed,112.776,3,2.56,Christianity,Female
North,Unemployed,15.936,4,2.36,Christianity,Male
North,Unemployed,11.648,2,1.52,Christianity,Female
West,Self Employed,5.248,2,1.61,Islam,Male
East,Self Employed,29.304,3,5.04,Islam,Male
East,Employed,263.96,5,44.91,Islam,Female
East,Employed,71.632,11,10.89,Islam,Male
East,Employed,9.328,1,1.06,Islam,Female
North,Self Employed,7.88,1,2.59,Islam,Male
West,Unemployed,6.208,2,1.43,Christianity,Male
North,Unemployed,2.224,1,1.56,Islam,Female
West,Self Employed,103.92,10,5.99,Christianity,Male
West,Self Employed,52.68,3,3.87,Christianity,Female
West,Self Employed,27.888,7,2.01,Christianity,Male
West,Self Employed,6.456,4,1.78,Christianity,Male
West,Self Employed,11.52,5,1.62,Christianity,Female
West,Self Employed,39.072,3,1.55,Christianity,Male
West,Self Employed,10.368,2,1.44,Christianity,Female
West,Self Employed,13.88,5,1.14,Christianity,Male
West,Self Employed,84.784,2,7.1,Islam,Male
West,Self Employed,20.736,4,2.79,Islam,Female
West,Self Employed,10.368,2,1.53,Islam,Male
West,Self Employed,16.821,3,1.44,Islam,Female
North,Employed,478.48,2,72.41,Islam,Male
North,Employed,28.4,2,5.81,Islam,Male
North,Employed,5.184,1,1.66,Islam,Female
West,Self Employed,277.5,4,31.16,Islam,Male
East,Employed,64.864,4,5.04,Islam,Female
West,Employed,859.2,3,68.43,Christianity,Male
West,Self Employed,148.704,6,11.94,Christianity,Male
West,Self Employed,55.92,10,2.8,Christianity,Female
West,Self Employed,29.925,5,1.72,Christianity,Male
West,Self Employed,40.24,5,1.68,Christianity,Female
West,Self Employed,38.256,3,1.66,Christianity,Male
West,Self Employed,5.248,2,1.24,Christianity,Male
West,Self Employed,217.764,6,14.05,Christianity,Female
West,Self Employed,95.144,7,8.05,Christianity,Male
West,Self Employed,39.072,6,3.27,Christianity,Female
West,Self Employed,22.638,7,1.21,Christianity,Male
West,Employed,409.216,8,24.42,Christianity,Male
West,Employed,191.976,3,16.89,Christianity,Female
West,Employed,72.588,2,5,Christianity,Male
West,Employed,23.832,3,1.64,Christianity,Female
North,Employed,159.968,4,30.93,Atheist,Male
North,Employed,91.176,3,10.97,Atheist,Male
North,Employed,8.72,5,1.28,Atheist,Female
East,Self Employed,27.792,3,3.2,Islam,Male
West,Employed,718.64,10,39.23,Christianity,Female
West,Employed,131.904,3,12.91,Christianity,Male
West,Employed,203.88,5,10.49,Christianity,Male
West,Employed,146.544,6,8.87,Christianity,Female
West,Employed,14.301,7,1.35,Christianity,Male
West,Unemployed,71.04,6,4.45,Christianity,Female
West,Unemployed,11.304,3,1.56,Christianity,Male
West,Unemployed,5.344,2,1.3,Christianity,Male
West,Unemployed,564.195,3,26.61,Christianity,Female
West,Unemployed,87.168,2,7.29,Christianity,Male
East,Self Employed,275.49,1,39.36,Christianity,Female
East,Self Employed,53.424,3,3.08,Christianity,Male
West,Self Employed,51.016,7,5.44,Christianity,Male
West,Self Employed,35.208,1,5.07,Islam,Female
West,Employed,60.048,9,7.47,Islam,Male
West,Employed,5.022,1,1.66,Islam,Female
West,Unemployed,156.792,1,18.51,Islam,Male
West,Unemployed,35.36,2,3.4,Islam,Male
West,Unemployed,13.592,1,1.58,Islam,Female
West,Self Employed,669.08,5,44.7,Christianity,Male
West,Self Employed,438.336,4,33.73,Christianity,Female
West,Self Employed,15.552,3,1.38,Christianity,Male
West,Self Employed,4.16,2,1.28,Christianity,Male
West,Self Employed,11.648,2,1.18,Christianity,Female
West,Unemployed,663.072,6,81.6,Islam,Male
West,Unemployed,99.588,2,10.95,Islam,Female
West,Unemployed,49.568,2,6.32,Islam,Male
West,Unemployed,21.728,4,1.51,Islam,Male
West,Unemployed,3.488,2,1.4,Islam,Female
North,Employed,4.419,3,2.31,Atheist,Male
North,Employed,16.032,6,2.13,Atheist,Female
East,Employed,99.372,2,10.79,Islam,Male
East,Employed,33.568,2,4.64,Islam,Male
North,Self Employed,1369.764,6,296.1,Islam,Female
North,Self Employed,177.45,5,38.69,Islam,Male
North,Self Employed,9.48,3,1.53,Islam,Female
North,Employed,190.896,2,8.72,Christianity,Male
North,Employed,8.595,5,1.37,Christianity,Male
West,Self Employed,853.93,5,88.3,Islam,Female
West,Self Employed,170.058,3,19.06,Islam,Male
West,Self Employed,82.782,3,8.36,Islam,Female
North,Unemployed,198.272,8,48.61,Christianity,Male
North,Unemployed,200.984,7,14.41,Christianity,Male
North,Unemployed,97.696,4,9.17,Christianity,Female
North,Unemployed,47.36,4,4.74,Christianity,Male
North,Unemployed,18.588,2,4.52,Christianity,Female
North,Unemployed,4.896,3,1.34,Christianity,Male
North,Unemployed,2.696,1,1.2,Christianity,Male
West,Unemployed,35.91,3,2.67,Christianity,Female
West,Unemployed,43.872,2,1.54,Christianity,Male
West,Unemployed,6.696,1,1.5,Christianity,Female
West,Unemployed,5.248,2,1.38,Christianity,Male
West,Self Employed,5.715,5,1.39,Islam,Male
North,Self Employed,170.786,1,37.55,Islam,Female
East,Self Employed,221.024,2,11.11,Islam,Male
West,Employed,44.91,6,7.38,Islam,Female
West,Self Employed,286.344,3,15.87,Christianity,Male
West,Employed,229.544,7,16.47,Christianity,Male
West,Employed,89.988,2,7.01,Christianity,Female
West,Employed,81.438,7,6.09,Christianity,Male
West,Employed,61.542,1,3.56,Christianity,Female
West,Self Employed,20.104,1,1.94,Christianity,Male
West,Employed,18.704,7,1.13,Christianity,Male
West,Unemployed,20.736,4,1.23,Islam,Female
North,Self Employed,538.194,2,209.3,Atheist,Male
North,Self Employed,71.976,3,16.53,Atheist,Female
North,Self Employed,47.984,2,13.56,Atheist,Male
North,Self Employed,22.512,3,5.83,Atheist,Male
North,Self Employed,3.444,2,1.31,Atheist,Female
West,Unemployed,51.072,6,1.94,Islam,Male
East,Unemployed,5.88,1,1.76,Christianity,Female
West,Self Employed,36.744,3,2.83,Christianity,Male
South,Self Employed,10.368,2,2.24,Islam,Male
West,Self Employed,33.528,3,1.11,Christianity,Female
West,Unemployed,36.784,2,1.96,Christianity,Male
West,Unemployed,16.448,2,1.37,Christianity,Female
East,Self Employed,15.008,2,2.21,Islam,Male
West,Employed,23.988,2,1.78,Christianity,Male
East,Employed,523.764,3,28.73,Christianity,Female
East,Employed,251.964,6,28.56,Christianity,Male
West,Employed,57.576,3,6.09,Islam,Female
West,Employed,59.712,6,5.25,Islam,Male
West,Employed,24.84,3,2.43,Islam,Male
West,Employed,18.176,4,2.39,Islam,Female
West,Employed,11.648,2,1.95,Islam,Male
West,Self Employed,55.188,2,4.88,Christianity,Female
West,Self Employed,21.168,9,1.26,Christianity,Male
West,Self Employed,3.282,2,1.2,Christianity,Male
West,Employed,8.016,3,1.58,Christianity,Female
West,Employed,147.184,2,7.6,Christianity,Male
West,Employed,3.576,4,1.18,Christianity,Female
West,Unemployed,5.68,2,1.77,Islam,Male
North,Unemployed,25.632,3,3.8,Christianity,Male
West,Unemployed,5.892,4,1.36,Christianity,Female
North,Self Employed,310.88,2,65.52,Atheist,Male
North,Self Employed,10.368,2,3.38,Atheist,Female
West,Self Employed,63.686,1,2.84,Christianity,Male
East,Self Employed,349.965,7,39.47,Christianity,Male
East,Self Employed,22.32,5,1.47,Christianity,Female
North,Self Employed,6.912,3,2,Atheist,Male
North,Unemployed,4.928,2,1.18,Islam,Female
North,Employed,20.664,7,3.9,Islam,Male
West,Self Employed,324.744,3,44.43,Islam,Male
East,Unemployed,319.984,2,37.01,Islam,Female
South,Employed,1119.888,14,212.12,Atheist,Male
South,Employed,12.672,3,4.31,Atheist,Female
West,Employed,104.58,6,4.19,Islam,Male
West,Employed,4.672,1,1.58,Islam,Male
West,Self Employed,274.491,3,36.58,Islam,Female
West,Self Employed,492.835,5,44.93,Traditional,Male
West,Employed,373.47,5,29.59,Christianity,Female
West,Employed,64.2,5,3.02,Christianity,Male
West,Employed,26.388,4,2.97,Christianity,Male
West,Employed,32.448,2,1.54,Christianity,Female
West,Employed,8,2,1.23,Christianity,Male
West,Employed,12.576,4,1.84,Christianity,Female
South,Unemployed,30.336,4,3.27,Christianity,Male
North,Employed,61.96,4,10.96,Islam,Male
West,Self Employed,108.576,4,8.65,Christianity,Female
West,Self Employed,5.984,2,1.31,Christianity,Male
West,Self Employed,86.376,3,4.65,Islam,Female
West,Self Employed,36.048,3,3.5,Islam,Male
North,Self Employed,60.312,3,9.02,Islam,Male
West,Self Employed,195.104,4,16.96,Christianity,Female
West,Self Employed,36.672,3,3.14,Christianity,Male
West,Self Employed,39.992,1,5.37,Islam,Female
North,Self Employed,4.768,2,1.33,Christianity,Male
South,Self Employed,2.946,2,1.54,Atheist,Male
North,Employed,16.52,5,1.42,Islam,Female
South,Self Employed,40.032,6,1.4,Islam,Male
West,Self Employed,539.964,6,21.97,Islam,Female
East,Self Employed,280.782,3,21.38,Christianity,Male
West,Self Employed,60.312,3,8.88,Islam,Male
West,Self Employed,76.792,1,6.89,Islam,Female
West,Self Employed,50.997,1,4.98,Islam,Male
West,Self Employed,99.846,9,3.99,Islam,Female
East,Self Employed,31.984,2,2.54,Christianity,Male
West,Self Employed,1.944,3,1.34,Islam,Male
West,Self Employed,494.982,3,89.14,Islam,Female
West,Self Employed,394.816,4,13.21,Christianity,Male
West,Self Employed,18.192,4,1.42,Christianity,Female
West,Self Employed,29.24,5,4.51,Islam,Male
West,Self Employed,4.896,3,1.38,Islam,Male
West,Self Employed,15.552,3,1.28,Islam,Female
West,Unemployed,447.696,2,48.02,Islam,Male
West,Unemployed,29.718,6,2.97,Islam,Female
West,Unemployed,45.056,8,2.23,Islam,Male
West,Unemployed,15.552,3,2.02,Islam,Male
West,Unemployed,78.256,2,8.2,Christianity,Female
West,Unemployed,31.104,6,3.19,Christianity,Male
West,Unemployed,59.994,1,8.11,Traditional,Female
West,Unemployed,10.08,2,1.81,Traditional,Male
West,Unemployed,5.715,5,1.43,Traditional,Male
West,Unemployed,9.42,5,1.14,Traditional,Female
West,Self Employed,329.988,2,18.75,Traditional,Male
West,Self Employed,71.376,3,8,Traditional,Female
West,Self Employed,5.346,3,1.25,Christianity,Male
South,Self Employed,11.352,3,2.08,Islam,Male
West,Self Employed,494.376,4,87.88,Islam,Female
West,Self Employed,143.982,3,21.08,Islam,Male
West,Self Employed,15.552,3,1.96,Christianity,Female
West,Self Employed,5.84,2,1.53,Islam,Male
West,Self Employed,5.232,1,1.35,Christianity,Male
West,Self Employed,545.916,14,45.96,Christianity,Female
West,Self Employed,358.2,3,20.05,Christianity,Male
West,Self Employed,8399.976,4,498.08,Christianity,Female
West,Self Employed,122.382,3,7.54,Christianity,Male
West,Self Employed,10.368,2,1.89,Christianity,Male
West,Self Employed,6.294,1,1.35,Christianity,Female
East,Unemployed,743.988,2,73.55,Christianity,Male
West,Self Employed,4.956,4,1.32,Islam,Female
West,Unemployed,217.056,7,30.16,Islam,Male
North,Self Employed,39.296,4,4.33,Christianity,Male
North,Self Employed,8.448,2,1.55,Christianity,Female
North,Self Employed,289.8,7,75.76,Islam,Male
North,Self Employed,341.488,8,30.89,Islam,Female
North,Self Employed,25.344,6,5.57,Islam,Male
North,Self Employed,6.48,4,1.85,Islam,Male
North,Self Employed,2.502,3,1.17,Islam,Female
North,Self Employed,11.12,5,1.07,Islam,Male
East,Employed,1.941,1,1.04,Christianity,Female
West,Self Employed,5.04,2,1.74,Traditional,Male
West,Employed,41.376,6,1.99,Christianity,Male
West,Employed,21.184,1,1.55,Christianity,Female
West,Employed,5.97,5,1.45,Christianity,Male
West,Self Employed,1228.465,5,150.35,Islam,Female
West,Self Employed,335.52,4,26.53,Islam,Male
West,Self Employed,41.472,8,5.34,Islam,Male
West,Self Employed,31.086,3,2.3,Islam,Female
West,Self Employed,3.168,3,1.24,Islam,Male
North,Employed,332.704,1,17.02,Christianity,Female
North,Employed,51.336,3,6.03,Christianity,Male
North,Employed,42.408,3,5.87,Christianity,Male
North,Employed,51.968,2,4.73,Christianity,Female
North,Employed,99.28,2,37.94,Atheist,Male
North,Employed,7.518,2,1.96,Atheist,Female
North,Employed,1.188,2,1.53,Atheist,Male
West,Self Employed,11.673,3,1.35,Christianity,Male
South,Employed,188.552,7,38.24,Islam,Female
West,Employed,7.92,5,1.43,Christianity,Male
West,Employed,347.802,7,27.86,Christianity,Female
West,Employed,340.182,3,26.17,Christianity,Male
West,Employed,12.672,8,1.76,Christianity,Male
West,Employed,32.544,2,1.59,Christianity,Female
West,Employed,6.888,2,1.29,Christianity,Male
West,Self Employed,887.271,3,48.06,Christianity,Female
West,Self Employed,58.248,9,5.43,Christianity,Male
West,Self Employed,71.246,2,2.69,Christianity,Male
West,Self Employed,5.344,1,1.85,Islam,Female
West,Self Employed,7.872,3,1.76,Christianity,Male
West,Employed,482.34,4,26.33,Christianity,Female
West,Employed,30.48,6,1.81,Christianity,Male
West,Employed,23.988,2,1.43,Christianity,Male
West,Employed,16.688,7,1.36,Christianity,Female
West,Employed,2.96,1,1.08,Christianity,Male
North,Unemployed,314.532,2,61.08,Islam,Female
East,Unemployed,37.312,4,3.63,Christianity,Male
North,Employed,168.464,2,17.29,Christianity,Male
North,Employed,282.888,9,6.5,Christianity,Female
North,Employed,6.72,2,1.72,Christianity,Male
East,Self Employed,127.104,6,36.4,Atheist,Female
East,Self Employed,124.2,3,26.12,Atheist,Male
East,Self Employed,30.072,3,10.17,Atheist,Male
East,Self Employed,18.588,2,5.26,Atheist,Female
West,Unemployed,16.656,3,2.3,Islam,Male
East,Employed,1801.632,6,356.88,Islam,Female
West,Employed,128.058,3,10.62,Christianity,Male
West,Self Employed,3.304,1,1.6,Islam,Male
East,Employed,445.802,7,21.36,Christianity,Female
North,Self Employed,422.856,3,24.87,Islam,Male
West,Employed,186.912,6,27.41,Islam,Female
West,Employed,52.512,6,3.44,Islam,Male
West,Employed,10.048,4,1.17,Islam,Male
West,Self Employed,53.982,3,2.22,Christianity,Female
West,Self Employed,1.908,2,1.06,Christianity,Male
West,Self Employed,215.544,4,28.18,Traditional,Female
West,Self Employed,359.97,5,13.51,Christianity,Male
West,Self Employed,350.352,4,10.17,Christianity,Male
East,Self Employed,78.759,9,13.01,Islam,Female
East,Self Employed,54.384,2,11.12,Atheist,Male
West,Unemployed,104.68,5,10.17,Christianity,Female
West,Unemployed,62.958,7,1.62,Christianity,Male
South,Employed,341.991,3,27.22,Christianity,Male
West,Employed,54.816,3,2.07,Christianity,Female
West,Employed,1319.8,5,87.36,Christianity,Male
West,Employed,123.92,5,3.1,Christianity,Female
East,Self Employed,1199.976,4,137.64,Christianity,Male
East,Self Employed,380.058,3,55.49,Christianity,Male
West,Self Employed,258.528,2,20.29,Islam,Female
East,Self Employed,48.576,3,3.09,Christianity,Male
West,Unemployed,748.752,8,88.38,Traditional,Female
East,Self Employed,20.544,6,2.91,Islam,Male
West,Self Employed,40.776,3,2.63,Christianity,Male
West,Self Employed,13.698,3,1.47,Christianity,Female
South,Employed,123.92,5,24.22,Islam,Male
West,Employed,82.368,2,2.72,Christianity,Female
South,Unemployed,4.842,3,1.92,Atheist,Male
East,Employed,7.476,1,1.39,Islam,Male
West,Unemployed,1499.97,5,19.33,Christianity,Female
North,Unemployed,11.736,3,1.63,Islam,Male
West,Unemployed,7.968,2,1.53,Christianity,Female
North,Self Employed,617.976,3,173.92,Atheist,Male
North,Self Employed,55.6,5,9.54,Atheist,Male
West,Self Employed,1079.976,4,66.96,Christianity,Female
West,Self Employed,30.672,3,1.84,Christianity,Male
West,Employed,51.968,2,4.08,Traditional,Female
West,Employed,16.056,3,1.22,Christianity,Male
West,Employed,2.946,2,1.17,Christianity,Male
East,Self Employed,40.032,6,4.64,Christianity,Female
East,Self Employed,16.776,3,2.4,Christianity,Male
West,Employed,241.92,4,22.28,Christianity,Female
West,Employed,163.88,4,11.56,Christianity,Male
West,Employed,10.584,7,1.78,Christianity,Male
West,Employed,3.486,2,1.14,Christianity,Female
West,Self Employed,43.296,2,3.02,Christianity,Male
West,Self Employed,20.736,4,1.87,Christianity,Female
East,Employed,728.946,9,59.93,Islam,Male
East,Employed,8.448,2,1.29,Islam,Male
West,Self Employed,631.176,4,130.32,Traditional,Female
West,Self Employed,285.576,4,27.84,Christianity,Male
West,Self Employed,27.968,2,2.51,Islam,Female
West,Unemployed,25.92,5,4.41,Islam,Male
West,Unemployed,18.312,4,2.6,Islam,Male
West,Unemployed,8.016,3,1.65,Islam,Female
North,Employed,422.625,7,68.23,Atheist,Male
North,Employed,33.568,2,5.97,Atheist,Female
West,Self Employed,2.412,1,1.1,Christianity,Male
West,Employed,309.576,4,25.64,Traditional,Male
West,Employed,123.256,7,15.27,Traditional,Female
West,Employed,23.68,4,2.74,Traditional,Male
West,Self Employed,14.2,1,1.64,Christianity,Female
West,Employed,24.588,2,2.23,Traditional,Male
West,Self Employed,11.61,2,1.76,Christianity,Male
West,Employed,84.784,2,13.03,Islam,Female
West,Self Employed,118.65,5,9.72,Christianity,Male
West,Self Employed,33.282,3,2,Christianity,Female
West,Self Employed,14.76,5,1.57,Christianity,Male
South,Self Employed,0.852,1,1.1,Islam,Male
West,Self Employed,9.555,5,1.92,Islam,Female
North,Self Employed,434.352,3,88.32,Islam,Male
North,Self Employed,88.832,4,9.14,Islam,Female
North,Self Employed,3.552,2,1.59,Islam,Male
North,Self Employed,252,5,45.37,Islam,Male
North,Self Employed,15.552,3,1.43,Islam,Female
West,Self Employed,201.432,3,16.09,Christianity,Male
West,Self Employed,281.904,2,11.84,Christianity,Female
West,Self Employed,106.8,10,9.19,Christianity,Male
East,Unemployed,7.968,2,1.25,Christianity,Male
West,Employed,337.176,2,20.31,Christianity,Female
East,Self Employed,259.92,5,44.66,Christianity,Male
East,Self Employed,138.588,1,11.64,Christianity,Female
East,Self Employed,37.752,3,2.8,Christianity,Male
East,Self Employed,20.736,4,1.79,Christianity,Male
East,Self Employed,20.096,4,1.67,Christianity,Female
West,Self Employed,172.186,2,18.58,Islam,Male
West,Self Employed,69.008,2,7.37,Islam,Female
East,Self Employed,82.8,2,7.67,Islam,Male
East,Self Employed,20.724,2,2.58,Islam,Male
East,Self Employed,4.896,3,1.74,Islam,Female
East,Employed,509.97,10,38.87,Christianity,Male
East,Employed,82.8,2,10.61,Islam,Female
East,Employed,71.928,12,10.43,Christianity,Male
East,Employed,30.992,13,1.48,Christianity,Male
East,Employed,17.856,4,1.14,Christianity,Female
West,Unemployed,124.608,4,7.67,Christianity,Male
West,Unemployed,7.56,3,1.3,Christianity,Female
West,Self Employed,301.47,3,14.87,Christianity,Male
West,Self Employed,44.688,7,1.99,Christianity,Male
East,Self Employed,4663.736,7,400.04,Christianity,Female
East,Self Employed,79.984,2,9.61,Christianity,Male
East,Self Employed,5.607,1,1.54,Christianity,Female
North,Self Employed,23.616,8,3.31,Christianity,Male
West,Self Employed,83.92,5,6.16,Christianity,Male
West,Unemployed,431.94,2,26.74,Christianity,Female
West,Unemployed,68.238,3,5.68,Christianity,Male
West,Unemployed,2.043,1,1.11,Christianity,Female
West,Self Employed,79.36,5,5.65,Christianity,Male
West,Self Employed,9.344,1,1.76,Christianity,Male
West,Unemployed,64.944,3,8.23,Islam,Female
West,Unemployed,20.736,4,2.6,Islam,Male
West,Unemployed,470.155,7,29.5,Christianity,Female
West,Unemployed,72,1,5.28,Christianity,Male
West,Employed,547.136,4,63.84,Christianity,Male
West,Self Employed,769.184,4,50.87,Christianity,Female
West,Self Employed,118.782,3,6.08,Christianity,Male
West,Employed,2.624,1,1.15,Christianity,Female
West,Employed,24.4,2,3.78,Islam,Male
North,Employed,64.784,1,11.58,Christianity,Male
West,Self Employed,25.472,4,1.58,Christianity,Female
West,Employed,466.158,7,32.98,Christianity,Male
West,Employed,10.312,1,1.73,Christianity,Female
West,Employed,2.556,3,1.15,Christianity,Male
North,Employed,11.352,3,1.5,Christianity,Male
North,Self Employed,1799.97,5,276.7,Christianity,Female
